Model Name,C,gamma,kernel,Accuracy
SVC,0.1,1.0,poly,0.6334750381512971
,0.1,1.0,rbf,0.45029431000654024
,0.1,0.1,poly,0.3794419010246349
,0.1,0.1,rbf,0.4850664922607369
,0.1,0.01,poly,0.3794419010246349
,0.1,0.01,rbf,0.3799869195552649
,0.1,0.001,poly,0.3794419010246349
,0.1,0.001,rbf,0.3794419010246349
,1.0,1.0,poly,0.6763134946588184
,1.0,1.0,rbf,0.6609984739481142
,1.0,0.1,poly,0.3794419010246349
,1.0,0.1,rbf,0.5158600392413343
,1.0,0.01,poly,0.3794419010246349
,1.0,0.01,rbf,0.4900261608894702
,1.0,0.001,poly,0.3794419010246349
,1.0,0.001,rbf,0.38004142140832786
,10.0,1.0,poly,0.6756049705689993
,10.0,1.0,rbf,0.6948986265533028
,10.0,0.1,poly,0.48348593852190974
,10.0,0.1,rbf,0.5856769130150425
,10.0,0.01,poly,0.3794419010246349
,10.0,0.01,rbf,0.512807935469806
,10.0,0.001,poly,0.3794419010246349
,10.0,0.001,rbf,0.49013516459559625
,100.0,1.0,poly,0.6758229779812513
,100.0,1.0,rbf,0.6941356006104208
,100.0,0.1,poly,0.6334750381512971
,100.0,0.1,rbf,0.6751689557444953
,100.0,0.01,poly,0.3794419010246349
,100.0,0.01,rbf,0.5298125136254633
,100.0,0.001,poly,0.3794419010246349
,100.0,0.001,rbf,0.5120449095269239
,100.0,1.0,poly,0.6758229779812513
,100.0,1.0,rbf,0.6941356006104208
,100.0,0.1,poly,0.6334750381512971
,100.0,0.1,rbf,0.6751689557444953
,100.0,0.01,poly,0.3794419010246349
,100.0,0.01,rbf,0.5298125136254633
,100.0,0.001,poly,0.3794419010246349
,100.0,0.001,rbf,0.5120449095269239
Accuracy,Accuracy With Tolerance,Precision,Recall,F1
0.772667829119442,0.8942894507410637,0.7634614720233407,0.7093463875984692,0.7313768238054479
