Model Name,learning_rate,max_depth,n_estimators,Accuracy
XGBClassifier,0.01,5,100,0.48234139960758665
,0.01,5,500,0.5101918465227818
,0.01,5,1000,0.5352081970787007
,0.01,8,100,0.5047961630695444
,0.01,8,500,0.5468715936341836
,0.01,8,1000,0.5875844778722477
,0.01,15,100,0.5553738827120122
,0.01,15,500,0.6312949640287769
,0.01,15,1000,0.6739699149771092
,0.02,5,100,0.4907346849792893
,0.02,5,500,0.5351536952256376
,0.02,5,1000,0.5687813385655113
,0.02,8,100,0.5183671244822324
,0.02,8,500,0.5882930019620667
,0.02,8,1000,0.6378351863963375
,0.02,15,100,0.5816437758883802
,0.02,15,500,0.6732613908872901
,0.02,15,1000,0.6906474820143885
,0.1,5,100,0.5369522563767168
,0.1,5,500,0.6226836712448223
,0.1,5,1000,0.6595269239154131
,0.1,8,100,0.5865489426640506
,0.1,8,500,0.6865053411816002
,0.1,8,1000,0.6958251580553739
,0.1,15,100,0.6739154131240461
,0.1,15,500,0.6942446043165468
,0.1,15,1000,0.6925550468715936
Accuracy,Accuracy With Tolerance,Precision,Recall,F1
0.7626416739319966,0.8912380122057542,0.743482259530322,0.7031061781739635,0.7193455484521686
